winners,losers,matchDate,isBagel,score,headStart
GjwUVaV3jOYr8iVbXTJp;FLDJnQNRuNhV6jPh6WOZQWPKHEB3,fC98k2vULrb9HCOpoHts;Zuw8wJhOlMiKg1h9WOgH,2020-02-23T00:00:00.000Z,false,6:4,0
fC98k2vULrb9HCOpoHts;Zuw8wJhOlMiKg1h9WOgH,mdPC8NJKtK1sJtoo8Wae;GjwUVaV3jOYr8iVbXTJp,2020-02-23T00:00:00.000Z,false,6:3,-1
fC98k2vULrb9HCOpoHts;Zuw8wJhOlMiKg1h9WOgH,GjwUVaV3jOYr8iVbXTJp;FLDJnQNRuNhV6jPh6WOZQWPKHEB3,2020-02-23T00:00:00.000Z,false,7:5,0
Zuw8wJhOlMiKg1h9WOgH;fC98k2vULrb9HCOpoHts,GjwUVaV3jOYr8iVbXTJp;lc8spNis0olchFNm30nJ,2020-02-23T00:00:00.000Z,false,6:4,0
FLDJnQNRuNhV6jPh6WOZQWPKHEB3;GjwUVaV3jOYr8iVbXTJp,fC98k2vULrb9HCOpoHts;Zuw8wJhOlMiKg1h9WOgH,2020-02-20T00:00:00.000Z,false,6:1,0
FLDJnQNRuNhV6jPh6WOZQWPKHEB3;fC98k2vULrb9HCOpoHts,GjwUVaV3jOYr8iVbXTJp;Zuw8wJhOlMiKg1h9WOgH,2020-02-20T00:00:00.000Z,false,6:4,0
GjwUVaV3jOYr8iVbXTJp;Zuw8wJhOlMiKg1h9WOgH,fC98k2vULrb9HCOpoHts;FLDJnQNRuNhV6jPh6WOZQWPKHEB3,2020-02-20T00:00:00.000Z,false,6:4,0
Zuw8wJhOlMiKg1h9WOgH;FLDJnQNRuNhV6jPh6WOZQWPKHEB3,GjwUVaV3jOYr8iVbXTJp;QIaNbEntTnQHP1FLXrgBDm16h0J2,2020-02-20T00:00:00.000Z,false,6:2,0
fC98k2vULrb9HCOpoHts;Zuw8wJhOlMiKg1h9WOgH,GjwUVaV3jOYr8iVbXTJp;FLDJnQNRuNhV6jPh6WOZQWPKHEB3,2020-02-20T00:00:00.000Z,false,6:4,0
Zuw8wJhOlMiKg1h9WOgH;FLDJnQNRuNhV6jPh6WOZQWPKHEB3,GjwUVaV3jOYr8iVbXTJp;mdPC8NJKtK1sJtoo8Wae,2020-02-17T00:00:00.000Z,false,7:5,0
GjwUVaV3jOYr8iVbXTJp;R0YcF7WNYUQolBtbGDKv,mdPC8NJKtK1sJtoo8Wae;FLDJnQNRuNhV6jPh6WOZQWPKHEB3,2020-02-17T00:00:00.000Z,false,7:5,0
fC98k2vULrb9HCOpoHts;Zuw8wJhOlMiKg1h9WOgH,FLDJnQNRuNhV6jPh6WOZQWPKHEB3;GjwUVaV3jOYr8iVbXTJp,2020-02-14T00:00:00.000Z,false,7:6,0
GjwUVaV3jOYr8iVbXTJp;Zuw8wJhOlMiKg1h9WOgH,fC98k2vULrb9HCOpoHts;FLDJnQNRuNhV6jPh6WOZQWPKHEB3,2020-02-13T00:00:00.000Z,true,6:1,0
fC98k2vULrb9HCOpoHts;FLDJnQNRuNhV6jPh6WOZQWPKHEB3,Zuw8wJhOlMiKg1h9WOgH;GjwUVaV3jOYr8iVbXTJp,2020-02-13T00:00:00.000Z,false,7:6,0
GjwUVaV3jOYr8iVbXTJp;R0YcF7WNYUQolBtbGDKv,Zuw8wJhOlMiKg1h9WOgH;lc8spNis0olchFNm30nJ,2020-02-10T00:00:00.000Z,false,6:4,0
Zuw8wJhOlMiKg1h9WOgH;lc8spNis0olchFNm30nJ,GjwUVaV3jOYr8iVbXTJp;FLDJnQNRuNhV6jPh6WOZQWPKHEB3,2020-02-10T00:00:00.000Z,false,6:1,0
FLDJnQNRuNhV6jPh6WOZQWPKHEB3;GjwUVaV3jOYr8iVbXTJp,Zuw8wJhOlMiKg1h9WOgH;R0YcF7WNYUQolBtbGDKv,2020-02-10T00:00:00.000Z,false,6:1,0
Zuw8wJhOlMiKg1h9WOgH;FLDJnQNRuNhV6jPh6WOZQWPKHEB3,GjwUVaV3jOYr8iVbXTJp;R0YcF7WNYUQolBtbGDKv,2020-02-10T00:00:00.000Z,false,6:2,0
GjwUVaV3jOYr8iVbXTJp;lc8spNis0olchFNm30nJ,Zuw8wJhOlMiKg1h9WOgH;FLDJnQNRuNhV6jPh6WOZQWPKHEB3,2020-02-10T00:00:00.000Z,true,6:2,0
Zuw8wJhOlMiKg1h9WOgH;JUiZ9HOtW1eLsUTvtndZ,mdPC8NJKtK1sJtoo8Wae;FLDJnQNRuNhV6jPh6WOZQWPKHEB3,2020-02-09T00:00:00.000Z,false,7:5,0
Zuw8wJhOlMiKg1h9WOgH;JUiZ9HOtW1eLsUTvtndZ,mdPC8NJKtK1sJtoo8Wae;FLDJnQNRuNhV6jPh6WOZQWPKHEB3,2020-02-09T00:00:00.000Z,false,7:6,0
Zuw8wJhOlMiKg1h9WOgH;JUiZ9HOtW1eLsUTvtndZ,mdPC8NJKtK1sJtoo8Wae;FLDJnQNRuNhV6jPh6WOZQWPKHEB3,2020-02-09T00:00:00.000Z,false,7:6,0
mdPC8NJKtK1sJtoo8Wae;Zuw8wJhOlMiKg1h9WOgH,fC98k2vULrb9HCOpoHts;R0YcF7WNYUQolBtbGDKv,2020-02-05T00:00:00.000Z,false,6:3,0
fC98k2vULrb9HCOpoHts;JUiZ9HOtW1eLsUTvtndZ,mdPC8NJKtK1sJtoo8Wae;FLDJnQNRuNhV6jPh6WOZQWPKHEB3,2020-02-05T00:00:00.000Z,false,6:4,0
GjwUVaV3jOYr8iVbXTJp;Zuw8wJhOlMiKg1h9WOgH,fC98k2vULrb9HCOpoHts;FLDJnQNRuNhV6jPh6WOZQWPKHEB3,2020-02-05T00:00:00.000Z,false,6:4,0
mdPC8NJKtK1sJtoo8Wae;fC98k2vULrb9HCOpoHts,Zuw8wJhOlMiKg1h9WOgH;FLDJnQNRuNhV6jPh6WOZQWPKHEB3,2020-02-05T00:00:00.000Z,false,6:3,0
fC98k2vULrb9HCOpoHts;mdPC8NJKtK1sJtoo8Wae,GjwUVaV3jOYr8iVbXTJp;R0YcF7WNYUQolBtbGDKv,2020-02-05T00:00:00.000Z,false,7:6,0
Zuw8wJhOlMiKg1h9WOgH;R0YcF7WNYUQolBtbGDKv,FLDJnQNRuNhV6jPh6WOZQWPKHEB3;JUiZ9HOtW1eLsUTvtndZ,2020-02-05T00:00:00.000Z,false,6:1,0
FLDJnQNRuNhV6jPh6WOZQWPKHEB3;R0YcF7WNYUQolBtbGDKv,mdPC8NJKtK1sJtoo8Wae;lc8spNis0olchFNm30nJ,2020-01-28T00:00:00.000Z,false,6:3,0
fC98k2vULrb9HCOpoHts;FLDJnQNRuNhV6jPh6WOZQWPKHEB3,mdPC8NJKtK1sJtoo8Wae;GjwUVaV3jOYr8iVbXTJp,2020-01-28T00:00:00.000Z,false,6:3,0
