winners,losers,matchDate,isBagel,score,headStart,WinOrLose
0.05,0.1,2020-02-23T00:00:00.000Z,FALSE,6:04,0,1
0.1,0.15,2020-02-23T00:00:00.000Z,FALSE,6:03,-1,1
0.1,0.05,2020-02-23T00:00:00.000Z,FALSE,7:05,0,1
0.25,0.3,2020-02-23T00:00:00.000Z,FALSE,6:04,0,1
0.35,0.1,2020-02-20T00:00:00.000Z,FALSE,6:01,0,1
0.4,0.45,2020-02-20T00:00:00.000Z,FALSE,6:04,0,1
0.45,0.5,2020-02-20T00:00:00.000Z,FALSE,6:04,0,1
0.55,0.6,2020-02-20T00:00:00.000Z,FALSE,6:02,0,1
0.1,0.05,2020-02-20T00:00:00.000Z,FALSE,6:04,0,1
0.55,0.65,2020-02-17T00:00:00.000Z,FALSE,7:05,0,1
0.7,0.75,2020-02-17T00:00:00.000Z,FALSE,7:05,0,1
0.1,0.35,2020-02-14T00:00:00.000Z,FALSE,7:06,0,1
0.45,0.5,2020-02-13T00:00:00.000Z,TRUE,6:01,0,1
0.5,0.8,2020-02-13T00:00:00.000Z,FALSE,7:06,0,1
0.7,0.85,2020-02-10T00:00:00.000Z,FALSE,6:04,0,1
0.85,0.05,2020-02-10T00:00:00.000Z,FALSE,6:01,0,1
0.35,0.9,2020-02-10T00:00:00.000Z,FALSE,6:01,0,1
0.55,0.7,2020-02-10T00:00:00.000Z,FALSE,6:02,0,1
0.3,0.55,2020-02-10T00:00:00.000Z,TRUE,6:02,0,1
0.95,0.75,2020-02-09T00:00:00.000Z,FALSE,7:05,0,1
0.95,0.75,2020-02-09T00:00:00.000Z,FALSE,7:06,0,1
0.95,0.75,2020-02-09T00:00:00.000Z,FALSE,7:06,0,1
1,1.05,2020-02-05T00:00:00.000Z,FALSE,6:03,0,1
1.1,0.75,2020-02-05T00:00:00.000Z,FALSE,6:04,0,1
0.45,0.5,2020-02-05T00:00:00.000Z,FALSE,6:04,0,1
1.15,0.55,2020-02-05T00:00:00.000Z,FALSE,6:03,0,1
1.2,0.7,2020-02-05T00:00:00.000Z,FALSE,7:06,0,1
0.9,1.3,2020-02-05T00:00:00.000Z,FALSE,6:01,0,1
1.35,1.4,2020-01-28T00:00:00.000Z,FALSE,6:03,0,1
0.5,0.15,2020-01-28T00:00:00.000Z,FALSE,6:03,0,1
0.15,0.25,2020-01-28T00:00:00.000Z,FALSE,6:02,0,0
0.85,1.05,2020-01-28T00:00:00.000Z,FALSE,6:03,0,0
0.7,0.75,2020-01-28T00:00:00.000Z,FALSE,6:03,0,0
0.5,1.45,2020-01-28T00:00:00.000Z,FALSE,7:05,0,0
1.55,1.5,2020-01-26T00:00:00.000Z,FALSE,6:03,-1,0
0.75,0.85,2020-01-26T00:00:00.000Z,FALSE,7:05,0,0
1.6,0.55,2020-01-26T00:00:00.000Z,FALSE,6:02,0,0
1,1.5,2020-01-26T00:00:00.000Z,FALSE,6:03,0,0
0.15,0.1,2020-01-21T00:00:00.000Z,FALSE,6:01,0,0
0.55,0.3,2020-01-21T00:00:00.000Z,FALSE,6:03,0,0
0.15,0.4,2020-01-21T00:00:00.000Z,FALSE,6:03,0,0
1.65,1.15,2020-01-21T00:00:00.000Z,FALSE,7:06,0,0
0.55,1.2,2020-01-21T00:00:00.000Z,FALSE,6:04,0,0
0.3,0.1,2020-01-21T00:00:00.000Z,FALSE,6:04,0,0
1.3,1.4,2020-01-19T00:00:00.000Z,FALSE,6:01,0,0
1.3,1.4,2020-01-19T00:00:00.000Z,FALSE,6:03,0,0
1.4,1.3,2020-01-19T00:00:00.000Z,FALSE,7:05,0,0
0.5,0.3,2020-01-14T00:00:00.000Z,FALSE,7:05,0,0
1.7,0.9,2020-01-14T00:00:00.000Z,FALSE,6:02,0,0
0.75,1.75,2020-01-14T00:00:00.000Z,FALSE,6:04,-2,0
0.5,0.15,2020-01-14T00:00:00.000Z,FALSE,7:05,0,0
1.85,1.8,2020-01-14T00:00:00.000Z,FALSE,6:02,0,0
1.85,1.45,2020-01-14T00:00:00.000Z,FALSE,6:04,-2,0
1.45,1.15,2020-01-08T00:00:00.000Z,FALSE,6:04,0,0
1.9,0.5,2020-01-08T00:00:00.000Z,FALSE,6:03,0,0
1.95,1.1,2020-01-08T00:00:00.000Z,FALSE,6:02,0,0
0.5,1.45,2020-01-08T00:00:00.000Z,FALSE,6:03,1,0
1.4,1.35,2020-01-08T00:00:00.000Z,FALSE,6:02,0,0
2,0.7,2020-01-08T00:00:00.000Z,FALSE,7:06,0,0
1.25,1.9,2020-01-01T00:00:00.000Z,FALSE,6:04,-1,0
0.55,1.45,2020-01-01T00:00:00.000Z,FALSE,6:03,0.15,0
0.55,0.7,2020-01-01T00:00:00.000Z,FALSE,6:02,0.15,0
1.25,0.45,2020-01-01T00:00:00.000Z,FALSE,7:06,-1.15,0
0.55,0.7,2020-01-01T00:00:00.000Z,FALSE,7:05,0,0
